ano,scd,scod,scmd,nie_malla_modi_id,iv_malla_modi_id,poblacion,grupo_poblacion
2001,32,48,197,1623131,144168,1,A
2001,32,48,197,1623131,144167,1,A
2001,32,48,197,1623131,144847,1,A
2001,32,48,197,1623131,144846,1,A
2002,72,80,157,1623131,144168,1,A
2002,72,80,157,1623131,144167,1,A
2002,72,80,157,1623131,144847,1,A
2002,72,80,157,1623131,144846,1,A
2003,16,78,157,1623131,144168,1,A
2003,16,78,157,1623131,144167,1,A
2003,16,78,157,1623131,144847,1,A
2003,16,78,157,1623131,144846,1,A
2004,40,125,165,1623131,144168,1,A
2004,40,125,165,1623131,144167,1,A
2004,40,125,165,1623131,144847,1,A
2004,40,125,165,1623131,144846,1,A
2005,80,64,165,1623131,144168,1,A
2005,80,64,165,1623131,144167,1,A
2005,80,64,165,1623131,144847,1,A
2005,80,64,165,1623131,144846,1,A
2006,32,72,125,1623131,144168,1,A
2006,32,72,125,1623131,144167,1,A
2006,32,72,125,1623131,144847,1,A
2006,32,72,125,1623131,144846,1,A
2007,24,96,181,1623131,144168,1,A
2007,24,96,181,1623131,144167,1,A
2007,24,96,181,1623131,144847,1,A
2007,24,96,181,1623131,144846,1,A
2008,80,63,165,1623131,144168,1,A
2008,80,63,165,1623131,144167,1,A
2008,80,63,165,1623131,144847,1,A
2008,80,63,165,1623131,144846,1,A
2009,64,80,165,1623131,144168,1,A
2009,64,80,165,1623131,144167,1,A
2009,64,80,165,1623131,144847,1,A
2009,64,80,165,1623131,144846,1,A
2010,56,72,149,1623131,144168,1,A
2010,56,72,149,1623131,144167,1,A
2010,56,72,149,1623131,144847,1,A
2010,56,72,149,1623131,144846,1,A
2011,24,125,157,1623131,144168,1,A
2011,24,125,157,1623131,144167,1,A
2011,24,125,157,1623131,144847,1,A
2011,24,125,157,1623131,144846,1,A
2012,16,0,0,1623131,144168,1,A
2012,16,0,0,1623131,144167,1,A
2012,16,0,0,1623131,144847,1,A
2012,16,0,0,1623131,144846,1,A
2001,48,48,197,1630337,148242,1,A
2001,48,48,197,1630337,148241,1,A
2001,48,48,197,1630337,148921,1,A
2001,48,48,197,1630337,148920,1,A
2002,88,56,253,1630337,148242,1,A
2002,88,56,253,1630337,148241,1,A
2002,88,56,253,1630337,148921,1,A
2002,88,56,253,1630337,148920,1,A
2003,24,72,157,1630337,148242,1,A
2003,24,72,157,1630337,148241,1,A
2003,24,72,157,1630337,148921,1,A
2003,24,72,157,1630337,148920,1,A
2004,48,71,165,1630337,148242,1,A
2004,48,71,165,1630337,148241,1,A
2004,48,71,165,1630337,148921,1,A
2004,48,71,165,1630337,148920,1,A
2005,80,64,165,1630337,148242,1,A
2005,80,64,165,1630337,148241,1,A
2005,80,64,165,1630337,148921,1,A
2005,80,64,165,1630337,148920,1,A
2006,32,72,125,1630337,148242,1,A
2006,32,72,125,1630337,148241,1,A
2006,32,72,125,1630337,148921,1,A
2006,32,72,125,1630337,148920,1,A
2007,32,88,181,1630337,148242,1,A
2007,32,88,181,1630337,148241,1,A
